event_index,threshold,previous_ts_ms,previous_timestamp_utc,previous_margin_ratio,trigger_ts_ms,trigger_timestamp_utc,trigger_margin_ratio
1,2.0,1785023308805,2026-07-25T23:48:28.805Z,2.070245,1785023313804,2026-07-25T23:48:33.804Z,1.931647
2,2.0,1785023343805,2026-07-25T23:49:03.805Z,2.000677,1785023348804,2026-07-25T23:49:08.804Z,1.986652
3,2.0,1785023718805,2026-07-25T23:55:18.805Z,2.003073,1785023723804,2026-07-25T23:55:23.804Z,1.998697
4,2.0,1785023873804,2026-07-25T23:57:53.804Z,2.020529,1785023878805,2026-07-25T23:57:58.805Z,1.998642
5,2.0,1785023883804,2026-07-25T23:58:03.804Z,2.002676,1785023888804,2026-07-25T23:58:08.804Z,1.978076
6,2.0,1785023933804,2026-07-25T23:58:53.804Z,2.000896,1785023938804,2026-07-25T23:58:58.804Z,1.991109
7,2.0,1785023998804,2026-07-25T23:59:58.804Z,2.006109,1785024003810,2026-07-26T00:00:03.810Z,1.971371
8,2.0,1785024193804,2026-07-26T00:03:13.804Z,2.007588,1785024198804,2026-07-26T00:03:18.804Z,1.986961
9,2.0,1785024208804,2026-07-26T00:03:28.804Z,2.00009,1785024213804,2026-07-26T00:03:33.804Z,1.990146
10,2.0,1785024298804,2026-07-26T00:04:58.804Z,2.02783,1785024303806,2026-07-26T00:05:03.806Z,1.993021
11,2.0,1785025678804,2026-07-26T00:27:58.804Z,2.017773,1785025683805,2026-07-26T00:28:03.805Z,1.98739
12,2.0,1785025688811,2026-07-26T00:28:08.811Z,2.007796,1785025693809,2026-07-26T00:28:13.809Z,1.995761
13,2.0,1785025798811,2026-07-26T00:29:58.811Z,2.001261,1785025803804,2026-07-26T00:30:03.804Z,1.999127
14,2.0,1785025878808,2026-07-26T00:31:18.808Z,2.007218,1785025883805,2026-07-26T00:31:23.805Z,1.972402
15,2.0,1785026018805,2026-07-26T00:33:38.805Z,2.001483,1785026023804,2026-07-26T00:33:43.804Z,1.998955
16,2.0,1785026078808,2026-07-26T00:34:38.808Z,2.008799,1785026083807,2026-07-26T00:34:43.807Z,1.998182
17,2.0,1785026093807,2026-07-26T00:34:53.807Z,2.005739,1785026099252,2026-07-26T00:34:59.252Z,1.976346
